Site,DistCoast,DistStream,Population,Effluent,UrbanIndex,PointIndex,AgrIndex,FormPlIndex,FragIndex,DitchIndex
HAW-090,320.492189973999,3995.54728936999,5324,258100,0.3211,0,0,0,0,0
HAW-094,93.9730885684,834.103793505,16909,648000,0.2851,0.0994,0,0,0.1516,0
HAW-111,71.0253046775,2900.63079388,12574,456800,0.3211,0,0,0,0,0
HAW-136,526.831816112999,4727.8803987,24724,3250540,0,0,0,0,0,0
HAW-138,78.4631316711,20130.3784017,813,40000,0,0,0,0,0,0
HAW-146,451.730636324999,901.315505816,5593,1038880,0.119125,0,0.513925,0,0,0.287225
HAW-150,134.867309506999,364.954344365,5956,1054280,0.1053,0,0.45008,0,0,0.22978
HAW-153,80.9708132492,638.094378705,5629,537400,0.137716666666667,0,0,0,0.041883333333333,0
HAW-167,44.0901616932999,118.649527775,6055,1047280,0.1341,0,0,0,0,0
HAW-173,71.1687657575999,13869.5022126,1744,235400,0,0,0,0,0,0
HAW-177,839.271640397,4398.15613612,23406,3020140,0,0,0,0,0,0
HAW-178,181.693771201999,322.344116782,2902,553560,0.261855555555556,0,0.129655555555556,0,0,0
HAW-181,50.6340578199,10906.2330012,1362,188900,0,0,0,0,0,0
HAW-190,289.259065400999,527.392430408,70320,6881900,0.333157142857143,0,0.283471428571429,0.085571428571429,0.024114285714286,0
HAW-194,102.904737025,136.680461151999,3507,631760,0.062285714285714,0,0,0,0,0
HAW-198,76.9534459241999,400.321859731,5224,707500,0.097783333333333,0,0.041916666666667,0,0,0
HAW-203,211.0786643,4081.67672082999,62453,5971500,0,0,0,0,0,0
HAW-215,13.7589676661,342.262230949,17147,849800,0.342875,0.0632,0,0,0.14645,0
HAW-219,74.2284203176999,12042.3998678,8019,1375800,0,0,0,0,0,0
HAW-233,141.717080562,14036.3218528,3414,416800,0,0,0,0,0,0
HAW-246,167.838764316,14623.9830213,2689,255600,0.0099,0,0,0,0,0
HAW-248,15.8511217245,8951.23493416,4164,425700,0,0,0,0,0,0
HAW-265,94.3135089068999,9225.56861489999,3692,417300,0,0,0,0,0,0
HAW-272,850.692293413,5060.06106627,45281,4576200,0,0,0,0,0,0
HAW-290,105.107788197999,5980.87140062999,241,40200,0,0,0,0,0,0
HAW-292,87.4126346814999,11862.5386129,7148,954500,0,0,0,0,0,0
HAW-297,199.951023835999,17471.4143842999,1556,223400,0,0,0,0,0,0
HAW-302,436.169230957,2315.38295088,80702,7177840,0.34985,0,0,0,0,0
HAW-315,267.366826061999,272.345809561,2656,554160,0.2612875,0,0.097,0,0,0
HAW-323,102.676521437,195.346688997,3752,601200,0.10965,0,0,0,0,0
HAW-335,18.9503507746,12074.9763895,3209,312500,0,0,0,0,0,0
HAW-346,31.1653201106,178.245309182,3178,386600,0.069571428571429,0,0,0,0,0
HAW-354,153.448030985999,304.837726916,2960,445000,0.017266666666667,0,0,0,0,0
HAW-358,1387.86024774,1968.76430568,69756,6863600,0.30345,0,0.27215,0.07525,0.0422,0
HAW-361,148.638970505999,848.907331195999,2075,342000,0.077166666666667,0,0,0,0,0
HAW-428,113.546716323,10523.0217607,2833,285600,0,0,0,0,0,0
HAW-430,67.3676842737999,10464.4244339,2554,285000,0,0,0,0,0,0
HAW-447,21.8284550750999,19799.8454802,604,29000,0,0,0,0,0,0
HAW-453,96.3490747351,11551.7749093999,9075,1195200,0,0,0,0,0,0
HAW-457,783.552930446,809.905318382,2218,342900,0.01925,0,0.042816666666667,0,0,0.07155
HAW-503,60.7336154771,16118.7117428,2108,198700,0.0099,0,0,0,0,0
HAW-525,227.313947356999,517.249131429,7529,1042800,0.048385714285714,0,0.035928571428571,0,0,0
HAW-531,91.2002052767,19258.5576775,726,42500,0,0,0,0,0,0
KAU-073,1960.70483745999,3168.97767677999,232,600,0,0,0,0,0,0
KAU-080,257.930564807,864.027651452999,850,52600,0.00314,0,0,0,0,0
KAU-097,1449.33827866999,1650.28798413999,9362,1653400,0.305775,0,0,0,0.05955,0
KAU-118,1348.01558896,1449.14294524999,944,52600,0.005233333333333,0,0,0,0,0
KAU-125,948.823548833,1113.34566193,24198,3852200,0.241333333333333,0,0.121833333333333,0.4371,0.174166666666667,0.223933333333333
KAU-130,891.701147536,2010.71407687,19133,2964400,0.2165,0,0.064,0.35265,0.21445,0
KAU-135,101.236481431,95.5976590649,396,52600,0,0,0,0,0,0
KAU-138,209.656941751,620.059765804999,37204,5034200,0.540275,0.0446,0.161175,0.223,0.10755,0.295975
KAU-143,627.341816322999,1747.09145729,9589,1457600,0.27025,0,0,0,0,0
KAU-149,1560.9118191,2069.44523956,12641,1329200,0.26635,0.009825,0.396625,0,0.117625,0
KAU-152,62.6694591783999,176.087702871999,22210,3684800,0.1195,0,0.31205,0,0,0
KAU-162,214.350799537999,1265.11978731,20519,3419200,0.11825,0,0.65025,0,0.19605,0
KAU-168,1712.08613001999,1944.74751421,20284,3674600,0.198,0,0.25545,0,0.0629,0.34915
KAU-169,246.591762471,884.489377992999,13814,3335400,0.39455,0.03945,0,0,0.12855,0
KAU-170,876.853819216,2382.46878028999,292,600,0,0,0,0,0,0
KAU-176,762.048774689999,1312.57812463999,35232,3577000,0.307466666666667,0.006966666666667,0.1979,0.307966666666667,0.0181,0.4008
KAU-179,778.238958262999,1418.28163257,15576,2500000,0.413833333333333,0,0.4706,0,0.248266666666667,0.1392
KAU-180,725.703412426999,861.989358319999,12515,1083600,0.2425,0,0.6263,0,0.090333333333333,0
KAU-181,383.326458442999,912.102255034,6529,702600,0.20715,0,0.2277,0,0.05635,0
KAU-194,402.001919277,399.985319506999,507,52600,0,0,0,0,0,0
KAU-195,1412.95558426999,1767.08103751,33469,4795000,0.59365,0.0193,0.1708,0,0.1058,0
KAU-206,122.52849706,221.082628937,29725,4350400,0.29915,0,0.176775,0.327825,0.162925,0.16795
KAU-207,418.878165744999,817.640263463,48932,5111800,0.3333,0.128,0.6129,0,0.11,0.6507
KAU-216,1791.07481361,2079.05901624999,45825,5080200,0.3333,0.128,0.6129,0,0.11,0.6507
MAI-076,366.057789816,958.578512361999,33516,862400,0.4922,0,0.3305,0,0.2466,0
MAI-082,879.155515108,989.180423552999,5411,620800,0.28345,0.0227,0.294625,0.3255,0.313,0.50985
MAI-092,77.4065304335999,151.742441544999,26128,1874200,0.125016666666667,0,0.15275,0,0,0
MAI-093,99.9704294075999,402.791991279,25726,1948500,0.1312625,0,0.1432875,0,0,0
MAI-095,23.5522283453,106.717626186,70274,500500,0.49706,0.05218,0.368,0,0.20142,0.36114
MAI-103,797.566244419999,849.927029068,88470,892400,0.1771,0,0.17375,0,0.058716666666667,0.1036
MAI-110,130.872813616999,138.872259351,26226,948500,0.357933333333333,0,0.569,0.3613,0.1234,0.726133333333333
MAI-114,273.353738068999,1180.00379578999,48769,960400,0.4507,0.0448,0.21945,0.5423,0.1288,0.3455
MAI-116,107.38735303,1495.72938651,28947,384800,0.149175,0.017525,0.199475,0,0.048125,0
MAI-117,673.115594152999,7434.35644147,3728,122100,0,0,0,0,0,0
MAI-138,67.7328439494999,417.738558727999,15409,433600,0.0969,0,0.08148,0,0,0.25224
MAI-152,373.604257914,1277.42593213,49392,959400,0.4507,0.0448,0.21945,0.5423,0.1288,0.3455
MAI-165,439.763344761999,441.726306025999,8750,622700,0.26586,0.01816,0.28252,0.2604,0.2787,0.40788
MAI-168,63.3531384554,1389.60727114,29915,853100,0.4922,0,0.3305,0,0.2466,0
MAI-170,906.859808561,1411.97626552,66613,1097100,0.2987,0,0.3433,0.32995,0.09755,0
MAI-173,262.915536781,316.359686936,26790,949100,0.357933333333333,0,0.569,0.3613,0.1234,0.726133333333333
MAI-178,192.764667242999,244.172618172,7060,254400,0.03803,0,0.04248,0,0.04408,0.12341
MAI-182,334.976842744,724.492071055,4427,208000,0.1142375,0,0.118425,0,0.0678125,0
MAI-184,280.967409879999,1014.76282099,53771,499900,0.462475,0.054925,0.342975,0,0.195275,0.27875
MAI-185,41.9883158199,422.995527643,43410,294400,0.104311111111111,0,0.115611111111111,0,0.042122222222222,0
MAI-194,124.583434194,253.554183802,11157,610600,0.266825,0,0.28445,0.1529,0.2971,0.3141
MAI-199,1253.91495705,1297.64002264,49244,910100,0.66545,0,0.23385,0,0.20275,0
MAI-200,485.624426095999,536.707739764,30437,2290300,0.125257142857143,0,0.1403,0,0,0
MAI-214,461.138211363999,503.020139592,12603,456300,0.155,0,0.1742,0,0.0148,0.195
MAI-216,408.954518214,1121.57186512,53419,978700,0.658533333333333,0,0.231666666666667,0,0.136433333333333,0
MAI-232,78.1510247661999,769.579232738999,17115,451700,0.161225,0,0.1738,0,0.0111,0.14625
MAI-233,161.947386988999,258.647848033999,14800,383300,0.0927,0,0.06938,0,0,0.25224
MAI-235,42.7257912285,97.1208898672,23759,1059300,0.0735375,0,0.0453625,0,0,0
MAI-246,151.566743521,146.723596700999,75613,627300,0.0862,0,0.064,0,0,0.07895
MAI-247,1011.47833042,1360.47812881999,9257,448100,0.1445,0,0.1708,0,0.0148,0.195
MAI-255,196.857446298,306.423300832999,34708,2415200,0.1165375,0,0.1227625,0,0,0
MAI-257,76.2545729936999,807.152638089999,50570,418000,0.092233333333333,0,0.0759,0,0.059533333333333,0
MAI-262,73.1813218431999,248.847773485,20697,469900,0.1073,0,0.0851,0,0,0.3153
MOL-060,930.577571768999,1279.52017204,5219,33000,0.063325,0,0.131075,0,0,0
MOL-069,740.470452497,857.947284939,7157,118300,0.16358,0,0.21856,0,0.0573,0
MOL-074,1560.56864068,1706.99747712,3930,154700,0.0532,0,0,0,0.1723,0
MOL-075,714.516170949999,723.884901631,5436,37900,0.063325,0,0.131075,0,0,0
MOL-088,1080.36563467,1245.43721843,5392,118300,0.15218,0,0.16982,0,0.01794,0
MOL-109,971.396163968999,1881.34337731999,15830,604000,0.292575,0.02365,0.228975,0,0.09425,0.30455
MOL-127,808.376231358,873.609914652,17023,533800,0.224466666666667,0,0.193216666666667,0,0.120616666666667,0
MOL-147,1601.04867476999,1612.9624615,13698,465200,0.171525,0,0.1547,0,0.089725,0
MOL-160,1751.05312181999,1755.70091669,13934,624500,0.204875,0,0.196425,0,0.132625,0.3358
MOL-166,1269.37932454,1440.87464346999,13479,526100,0.2317,0,0.211875,0,0.0912,0
OAH-074,1365.91219645999,1708.80257501,274205,771318,0.4951,0,0.3457,0,0.1145,0.594
OAH-078,803.713781080999,1241.19895668,157820,509131,0.3875,0.0636,0.1929,0.2546,0.0287,0.636
OAH-080,994.50100623,2730.03338059999,136702,414331,0,0,0,0,0,0
OAH-083,483.694517082,1795.16551456999,231563,726118,0.4951,0,0.3457,0,0.1145,0.594
OAH-093,720.002545819,1608.70069165,523576,1371557,0.9236,0.1892,0.1101,0,0.1328,0.6809
OAH-101,2441.25559110999,2753.69313276999,254480,890753,0,0,0,0,0,0
OAH-103,1065.77941521999,1253.56938205,406432,1164138,0.765685714285714,0.085328571428571,0.131428571428571,0,0.1536,0.071257142857143
OAH-113,2509.12980968,2802.84410634999,157801,770203,0,0,0,0,0,0
OAH-120,1144.4939787,1938.786677,182554,564155,0,0,0,0,0,0
OAH-126,698.639391425999,1879.59007369999,165919,461531,0,0,0,0,0,0
OAH-141,1610.3353737,2171.69079074,210053,1159966,0,0,0,0,0,0
OAH-145,883.720245376999,1352.90406398,470061,1182642,0.9687,0.5034,0.0716,0,0,0
OAH-146,1340.15016783,1562.72874402,15415,1064953,0.314,0,0.240633333333333,0,0.1764,0
OAH-153,194.500893542999,2104.80184476,519632,1396782,0.9687,0.5034,0.0716,0,0,0
OAH-156,551.544710537,2832.07338653999,431435,1129157,0,0,0,0,0,0
OAH-159,804.72319368,806.864461675,277028,825283,0.6865,0,0.1362,0,0.1626,0
OAH-165,823.289503773999,995.631381636,76388,603476,0.17145,0,0.1098,0,0.2456,0
OAH-166,1161.12437614,3068.60787549,101062,982368,0.6074,0.0717,0.2225,0,0.0129,0.5705
OAH-175,1313.74650948,1652.03860432,134354,525051,0.4882,0.0222,0.1519,0,0.0239,0
OAH-177,1653.11813396999,4170.72807646999,174298,1286095,0,0,0,0,0,0
OAH-180,600.182624138,2858.69409385,185880,1239480,0,0,0,0,0,0
OAH-182,905.83829729,1420.24662883,286381,771318,0.4951,0,0.3457,0,0.1145,0.594
OAH-184,2104.5233566,2634.82852211999,240757,876683,0,0,0,0,0,0
OAH-185,1388.9525044,2812.48534595,406524,887017,0,0,0,0,0,0
OAH-205,654.878668231,2636.13726282,420063,1172157,0,0,0,0,0,0
OAH-214,872.094533261,1614.29019251999,510516,1346757,0.9236,0.1892,0.1101,0,0.1328,0.6809
OAH-215,1610.75761166,2034.88031054,212388,810683,0.7412,0.00855,0.14455,0,0.0905,0.3018
OAH-218,763.519255118,1078.43415638,404271,1180963,0.765685714285714,0.085328571428571,0.131428571428571,0,0.1536,0.071257142857143
OAH-221,297.921517343,934.549432076,104660,948570,0.5491,0.01645,0.2025,0,0.03895,0.565
OAH-238,338.550724699999,650.164867787,173015,562183,0.59295,0.0318,0.18755,0.1273,0.1449,0.318
OAH-249,310.768110122,1580.93264361999,204039,684998,0.4882,0.0222,0.1519,0,0.0239,0
OAH-252,2476.77745098,4056.94623117999,191048,1112541,0,0,0,0,0,0
OAH-253,702.677271053,2548.61989391,481023,1393182,0.9687,0.5034,0.0716,0,0,0
OAH-256,1207.26650623999,2029.66810138,478681,1367957,0.9236,0.1892,0.1101,0,0.1328,0.6809
OAH-258,483.963726775,1045.58557294999,504768,1378842,0.9816,0.3149,0.0421,0,0.0679,0
OAH-260,1667.88481738,1679.22429154,223466,1133525,0,0,0,0,0,0
OAH-271,1135.37433753999,1341.55202390999,97193,997970,0.5491,0.01645,0.2025,0,0.03895,0.565
